site,departure,country,destinations
solresor,Stockholm,Albanien,"Durres Riviera,"
solresor,Stockholm,Bulgarien,"Burgas,"
solresor,Stockholm,Cypern,"Cypern,"
solresor,Stockholm,Egypten,"Hurghada,"
solresor,Stockholm,Förenade Arabemiraten,"Dubai,"
solresor,Stockholm,Grekland,"Atens riviera,Halkidiki,Korfu,Kos,Kreta Chaniakusten,Kreta Heraklion,Rhodos,Samos,Zakynthos"
solresor,Stockholm,Italien,"Amalfikusten,Kalabrien,Sardinien (norra),Sicilien (nordvästra),Sicilien (sydöstra)"
solresor,Stockholm,Kap Verde,"Kap Verde,"
solresor,Stockholm,Kroatien,"Dubrovnik,Istrien,Makarska"
solresor,Stockholm,Maldiverna,"Maldiverna,"
solresor,Stockholm,Malta,"Malta,"
solresor,Stockholm,Mauritius,"Mauritius,"
solresor,Stockholm,Mexiko,"Cancun,Playa Del Carmen"
solresor,Stockholm,Montenegro,"Budvanska Rivieran,"
solresor,Stockholm,Portugal,"Algarve,Azorerna,Cascais,Lissabon,Madeira"
solresor,Stockholm,Seychellerna,"Seychellerna,"
solresor,Stockholm,Spanien,"Barcelona,Costa Blanca,Costa de Almeria,Costa del Sol,Costa Tropical,Fuerteventura,Gran Canaria,Ibiza,La Palma,Mallorca,Teneriffa"
solresor,Stockholm,Thailand,"Ao Nang,Khao Lak,Koh Lanta,Phuket"
solresor,Stockholm,Turkiet,"Alanya,Antalya,Belek,Side"
solresor,Köpenhamn,Albanien,"Durres Riviera,"
solresor,Köpenhamn,Bulgarien,"Burgas,"
solresor,Köpenhamn,Cypern,"Cypern,"
solresor,Köpenhamn,Egypten,"Hurghada,"
solresor,Köpenhamn,Förenade Arabemiraten,"Dubai,"
solresor,Köpenhamn,Grekland,"Atens riviera,Halkidiki,Korfu,Kos:,Kreta Chaniakusten ,Kreta Heraklion ,Rhodos ,Samos ,Zakynthos"
solresor,Köpenhamn,Italien,"Amalfikusten,Kalabrien,Sardinien (norra),Sicilien (nordvästra),Sicilien (sydöstra)"
solresor,Köpenhamn,Kap Verde,"Verde,"
solresor,Köpenhamn,Kroatien,"Dubrovnik,Istrien,Makarska"
solresor,Köpenhamn,Maldiverna,"Maldiverna,"
solresor,Köpenhamn,Malta,"Malta,"
solresor,Köpenhamn,Mauritius,"Mauritius,"
solresor,Köpenhamn,Mexiko,"Cancun,Playa Del Carmen"
solresor,Köpenhamn,Montenegro,"Budvanska Rivieran,"
solresor,Köpenhamn,Portugal,"Algarve,Azorerna,Cascais,Lissabon,Madeira"
solresor,Köpenhamn,Seychellerna,"Seychellerna,"
solresor,Köpenhamn,Spanien,"Barcelona,Costa Blanca,Costa de Almeria,Costa del Sol,Costa Tropical,Fuerteventura,Gran Canaria,Ibiza,La Palma,Mallorca,Teneriffa"
solresor,Köpenhamn,Thailand,"Ao Nang,Khao Lak,Koh Lanta,Phuket"
solresor,Köpenhamn,Turkiet,"Alanya,Antalya,Belek,Side"
solresor,Göteborg,Albanien,"Durres Riviera,"
solresor,Göteborg,Bulgarien,"Burgas,"
solresor,Göteborg,Cypern,"Cypern,"
solresor,Göteborg,Egypten,"Hurghada,"
solresor,Göteborg,Förenade Arabemiraten,"Dubai,"
solresor,Göteborg,Grekland,"Atens riviera,Halkidiki,Korfu,Kos,Kreta Chaniakusten,Kreta Heraklion,Rhodos,Samos,Zakynthos"
solresor,Göteborg,Italien,"Amalfikusten,Kalabrien,Sardinien (norra),Sicilien (nordvästra),Sicilien (sydöstra)"
solresor,Göteborg,Kap Verde,"Kap Verde,"
solresor,Göteborg,Kroatien,"Dubrovnik,Istrien,Makarska"
solresor,Göteborg,Maldiverna,"Maldiverna,"
solresor,Göteborg,Malta,"Malta,"
solresor,Göteborg,Mauritius,"Mauritius,"
solresor,Göteborg,Mexiko,"Cancun,Playa Del Carmen"
solresor,Göteborg,Montenegro,"Budvanska Rivieran,"
solresor,Göteborg,Portugal,"Algarve,Azorerna,Cascais,Lissabon,Madeira"
solresor,Göteborg,Seychellerna,"Seychellerna,"
solresor,Göteborg,Spanien,"Barcelona,Costa Blanca,Costa de Almeria,Costa del Sol,Costa Tropical,Fuerteventura,Gran Canaria,Ibiza,La Palma,Mallorca,Teneriffa"
solresor,Göteborg,Thailand,"Ao Nang,Khao Lak,Koh Lanta,Phuket"
solresor,Göteborg,Turkiet,"Alanya,Antalya,Belek,Side"
solresor,Jönköping,Cypern,"Cypern,"
solresor,Jönköping,Grekland,"Kreta Chaniakusten,"
solresor,Kalmar,Cypern,"Cypern,"
solresor,Kalmar,Grekland,"Kos,Kreta Chaniakusten,Kreta Heraklion,Rhodos"
solresor,Kalmar,Spanien,"Costa del Sol,Gran Canaria,Mallorca"
solresor,Kalmar,Turkiet,"Alanya,Antalya,Belek,Side"
solresor,Luleå,Bulgarien,"Burgas,"
solresor,Luleå,Cypern,"Cypern,"
solresor,Luleå,Grekland,"Atens riviera,Halkidiki,Kos,Kreta Chaniakusten,Rhodos"
solresor,Luleå,Italien,"Sicilien (sydöstra),"
solresor,Luleå,Kroatien,"Makarska,"
solresor,Luleå,Spanien,"Barcelona,Costa del Sol,Gran Canaria,Mallorca"
solresor,Luleå,Thailand,"Ao Nang,Khao Lak,Phuket"
solresor,Luleå,Turkiet,"Alanya,Antalya"
solresor,Malmö,Albanien,"Durres Riviera,"
solresor,Malmö,Montenegro,"Budvanska Rivieran,"
solresor,Norrköping,Cypern,"Cypern,"
solresor,Norrköping,Grekland,"Kreta Chaniakusten,"
solresor,Norrköping,Spanien,"Gran Canaria,Mallorca"
solresor,Norrköping,Turkiet,"Alanya,Antalya,Belek,Side"
solresor,Örebro,Cypern,"Cypern,"
solresor,Örebro,Grekland,"Kos,Kreta Chaniakusten,Rhodos"
solresor,Örebro,Spanien,"Gran Canaria,Mallorca,Teneriffa"
solresor,Örebro,Turkiet,"Alanya,Antalya,Belek,Side"
solresor,Umeå,Grekland,"Kreta Chaniakusten,Rhodos"
solresor,Umeå,Kroatien,"Makarska,"
solresor,Umeå,Spanien,"Gran Canaria,"
solresor,Umeå,Turkiet,"Alanya,Antalya,Belek,Side"
solresor,Växjö,Cypern,"Cypern,"
solresor,Växjö,Grekland,"Kos,Kreta Chaniakusten,Rhodos"
solresor,Växjö,Spanien,"Barcelona,Costa Blanca,Costa de Almeria,Costa del Sol,Gran Canaria,Mallorca,Teneriffa"
solresor,Växjö,Turkiet,"Alanya,Antalya,Belek"
norwegianholidays,Stockholm ,Albanien,"Tirana,"
norwegianholidays,Stockholm ,Bosnien och Hercegovina,"Sarajevo,"
norwegianholidays,Stockholm,Bulgarien,"Hela Bulgarien,Burgas,Sofia,Varna"
norwegianholidays,Stockholm ,Cypern,"Hela Cypern,Larnaca,Norra Cypern"
norwegianholidays,Stockholm ,Danmark,"Hela Danmark,Aalborg,Billund,Köpenhamn"
norwegianholidays,Stockholm ,Estland,"Tallinn,"
norwegianholidays,Stockholm ,Finland,"Hela Finland,Helsingfors,Rovaniemi"
norwegianholidays,Stockholm ,Frankrike,"Hela Frankrike,Bordeaux,Korsika,Lyon,Montpellier,Nice,Paris,Toulouse"
norwegianholidays,Stockholm ,Förenade Arabemiraten,"Dubai,"
norwegianholidays,Stockholm ,Grekland,"Hela Grekland,Aten,Kreta Chaniakusten,Heraklion,Korfu,Lefkas,Rhodos,Santorini,Thessaloniki"
norwegianholidays,Stockholm ,Irland,"Dublin,"
